start_time,away_team,away_team_score,home_team,home_team_score
2023-10-24 23:30:00+00:00,LOS ANGELES LAKERS,107,DENVER NUGGETS,119
2023-10-25 02:00:00+00:00,PHOENIX SUNS,108,GOLDEN STATE WARRIORS,104
2023-10-25 23:00:00+00:00,HOUSTON ROCKETS,86,ORLANDO MAGIC,116
2023-10-25 23:00:00+00:00,BOSTON CELTICS,108,NEW YORK KNICKS,104
2023-10-25 23:00:00+00:00,WASHINGTON WIZARDS,120,INDIANA PACERS,143
2023-10-25 23:00:00+00:00,ATLANTA HAWKS,110,CHARLOTTE HORNETS,116
2023-10-25 23:30:00+00:00,DETROIT PISTONS,102,MIAMI HEAT,103
2023-10-25 23:30:00+00:00,MINNESOTA TIMBERWOLVES,94,TORONTO RAPTORS,97
2023-10-25 23:30:00+00:00,CLEVELAND CAVALIERS,114,BROOKLYN NETS,113
2023-10-26 00:00:00+00:00,NEW ORLEANS PELICANS,111,MEMPHIS GRIZZLIES,104
2023-10-26 00:00:00+00:00,OKLAHOMA CITY THUNDER,124,CHICAGO BULLS,104
2023-10-26 01:00:00+00:00,SACRAMENTO KINGS,130,UTAH JAZZ,114
2023-10-26 01:30:00+00:00,DALLAS MAVERICKS,126,SAN ANTONIO SPURS,119
2023-10-26 02:30:00+00:00,PORTLAND TRAIL BLAZERS,111,LOS ANGELES CLIPPERS,123
2023-10-26 23:30:00+00:00,PHILADELPHIA 76ERS,117,MILWAUKEE BUCKS,118
2023-10-27 02:00:00+00:00,PHOENIX SUNS,95,LOS ANGELES LAKERS,100
2023-10-27 23:00:00+00:00,DENVER NUGGETS,108,MEMPHIS GRIZZLIES,104
2023-10-27 23:00:00+00:00,DETROIT PISTONS,111,CHARLOTTE HORNETS,99
2023-10-27 23:30:00+00:00,NEW YORK KNICKS,126,ATLANTA HAWKS,120
2023-10-27 23:30:00+00:00,OKLAHOMA CITY THUNDER,108,CLEVELAND CAVALIERS,105
2023-10-27 23:30:00+00:00,MIAMI HEAT,111,BOSTON CELTICS,119
2023-10-28 00:00:00+00:00,TORONTO RAPTORS,103,CHICAGO BULLS,104
2023-10-28 00:00:00+00:00,HOUSTON ROCKETS,122,SAN ANTONIO SPURS,126
2023-10-28 00:30:00+00:00,BROOKLYN NETS,120,DALLAS MAVERICKS,125
2023-10-28 01:30:00+00:00,LOS ANGELES CLIPPERS,118,UTAH JAZZ,120
2023-10-28 02:00:00+00:00,ORLANDO MAGIC,102,PORTLAND TRAIL BLAZERS,97
2023-10-28 02:00:00+00:00,GOLDEN STATE WARRIORS,122,SACRAMENTO KINGS,114
2023-10-28 23:00:00+00:00,CHICAGO BULLS,102,DETROIT PISTONS,118
2023-10-28 23:00:00+00:00,MEMPHIS GRIZZLIES,106,WASHINGTON WIZARDS,113
2023-10-28 23:00:00+00:00,NEW YORK KNICKS,87,NEW ORLEANS PELICANS,96
2023-10-28 23:30:00+00:00,INDIANA PACERS,125,CLEVELAND CAVALIERS,113
2023-10-28 23:30:00+00:00,PHILADELPHIA 76ERS,114,TORONTO RAPTORS,107
2023-10-29 00:00:00+00:00,MIAMI HEAT,90,MINNESOTA TIMBERWOLVES,106
2023-10-29 02:00:00+00:00,UTAH JAZZ,104,PHOENIX SUNS,126
2023-10-29 19:30:00+00:00,DENVER NUGGETS,128,OKLAHOMA CITY THUNDER,95
2023-10-29 23:00:00+00:00,GOLDEN STATE WARRIORS,106,HOUSTON ROCKETS,95
