Minute,FT_Percentage,Baseline,Difference,Attempts,FT_Trend,Difference_Trend,Regression_Line
0.0,50.0,65.2935862453458,-15.293586245345793,32,57.90628213573124,-2.491899665471979,63.298243999567475
1.0,63.63636363636363,63.87737438346608,-0.2410107471024503,44,58.29752855471746,-2.2951717377090173,64.14825014326391
2.0,36.11111111111111,63.301289761116806,-27.1901786500057,36,58.68877497370367,-2.0984438099460556,62.43249700135815
3.0,57.446808510638306,61.20847403130129,-3.761665520662987,47,59.08002139268989,-1.9017158821830937,63.762431751798864
4.0,67.27272727272727,65.39388407266344,1.8788432000638267,55,59.47126781167611,-1.704987954420132,64.37491844824963
5.0,51.92307692307693,60.155916388546295,-8.232839465469368,52,59.86251423066233,-1.5082600266571704,63.418116660858
6.0,58.18181818181818,61.798129848064924,-3.6163116662467445,55,60.25376064964854,-1.3115320988942085,63.80824768578534
7.0,66.66666666666666,60.279993358562294,6.386673308104363,66,60.64500706863476,-1.1148041711312469,64.33714039741866
8.0,70.0,62.780443440270346,7.219556559729654,40,61.036253487620975,-0.9180762433682852,64.54491967698891
9.0,58.536585365853654,63.21635950891629,-4.679774143062637,41,61.427499906607196,-0.7213483156053235,63.83036166675955
10.0,59.45945945945946,58.44908200817711,1.010377451282352,37,61.81874632559341,-0.5246203878423619,63.88788790105059
11.0,61.53846153846154,61.08947172511186,0.4489898133496766,26,62.20999274457963,-0.3278924600794002,64.0174799673106
12.0,60.0,62.4132861218762,-2.4132861218761974,10,62.60123916356584,-0.1311645323164381,63.92158183827819
13.0,60.0,59.895683596057225,0.10431640394277508,20,62.992485582552064,0.06556339544652356,63.92158183827819
14.0,20.0,57.63700337893886,-37.63700337893886,10,63.38373200153828,0.2622913232094852,61.42823048343533
16.0,72.72727272727273,68.38836296567109,4.338909761601641,11,64.16622483951072,0.6557471787354086,64.71492090572819
17.0,50.0,53.48150861981233,-3.481508619812331,2,64.55747125849693,0.8524751064983702,63.298243999567475
18.0,66.66666666666666,59.96345120077751,6.703215465889144,15,64.94871767748315,1.0492030342613319,64.33714039741866
19.0,100.0,65.71305099394988,34.28694900605012,4,65.33996409646936,1.2459309620242935,66.41493319312106
20.0,87.5,69.26297504997622,18.23702495002378,8,65.73121051545559,1.4426588897872552,65.63576089473267
21.0,100.0,74.07407407407408,25.925925925925924,2,66.1224569344418,1.6393868175502169,66.41493319312106
22.0,57.14285714285714,67.61810763414613,-10.475250491288989,7,66.51370335342801,1.8361147453131785,63.74348531293228
25.0,100.0,61.53846153846154,38.46153846153846,1,67.68744261038667,2.4262985286020644,66.41493319312106
27.0,100.0,53.48150861981233,46.51849138018767,2,68.46993544835911,2.8197543841279877,66.41493319312106
28.0,50.0,63.46403411197627,-13.464034111976268,4,68.86118186734532,3.0164823118909494,63.298243999567475
29.0,75.0,72.81289910600256,2.187100893997439,4,69.25242828633154,3.213210239653911,64.85658859634427
32.0,50.0,68.43238587424634,-18.432385874246336,4,70.42616754329019,3.803394022942796,63.298243999567475
33.0,50.0,61.53846153846154,-11.53846153846154,2,70.8174139622764,4.000121950705758,63.298243999567475
35.0,75.0,67.80626780626781,7.193732193732188,4,71.59990680024885,4.393577806231681,64.85658859634427
36.0,50.0,61.53846153846154,-11.53846153846154,2,71.99115321923506,4.590305733994643,63.298243999567475
37.0,75.0,57.50998507913694,17.49001492086306,4,72.38239963822127,4.787033661757604,64.85658859634427
41.0,100.0,74.07407407407408,25.925925925925924,1,73.94738531416614,5.573945372809452,66.41493319312106
44.0,100.0,74.07407407407408,25.925925925925924,1,75.1211245711248,6.164129156098336,66.41493319312106
46.0,0.0,74.07407407407408,-74.07407407407408,2,75.90361740909722,6.557585011624259,60.18155480601389
47.0,100.0,74.07407407407408,25.925925925925924,4,76.29486382808344,6.754312939387222,66.41493319312106
