Minute,FT_Percentage,Baseline,Difference,Attempts,FT_Trend,Difference_Trend,Regression_Line
0.0,41.86046511627907,42.41558088169608,-0.5551157654170069,43,55.07715543634272,-0.5874347008868614,48.96783194983629
1.0,64.28571428571429,51.17291643560805,13.11279785010624,56,52.593945800605994,-1.9765735879812678,53.6702121578748
2.0,46.236559139784944,53.17503821809754,-6.9384790783125965,93,50.110736164869266,-3.365712475075674,49.88546090321696
3.0,51.388888888888886,50.927753151558285,0.46113573733060065,72,47.62752652913254,-4.754851362170081,50.96585975428063
4.0,47.43589743589743,48.21335713135315,-0.7774596954557182,78,45.14431689339582,-6.143990249264487,50.13695173945118
5.0,47.5,55.6285061681189,-8.128506168118903,40,42.66110725765909,-7.533129136358893,50.150393491043005
6.0,43.24324324324324,54.83278033132516,-11.589537088081919,37,40.17789762192236,-8.9222680234533,49.257788527228854
7.0,41.935483870967744,57.596497597159484,-15.66101372619174,31,37.69468798618564,-10.311406910547706,48.98356273189424
8.0,61.111111111111114,55.48272443876959,5.628386672341527,18,35.211478350448914,-11.700545797642112,53.0045254123747
9.0,0.0,63.601532567049816,-63.601532567049816,2,32.728268714712186,-13.089684684736518,40.19005556149773
13.0,0.0,17.391304347826086,-17.391304347826086,1,22.795430171765275,-18.646240233114142,40.19005556149773
15.0,0.0,37.91469194312796,-37.91469194312796,2,17.829010900291827,-21.424518007302957,40.19005556149773
16.0,50.0,37.91469194312796,12.085308056872037,2,15.3458012645551,-22.81365689439736,50.67462180312434
