Minute,FT_Percentage,Baseline,Difference,Attempts,FT_Trend,Difference_Trend,Regression_Line
0.0,86.66666666666667,87.84832208765945,-1.181655420992783,30,84.20946891977513,-5.058505886523127,87.48723945447915
1.0,93.75,88.57257719839652,5.177422801603484,48,84.63495244444096,-4.512332866567961,87.23110391682091
2.0,78.26086956521739,87.54248410895362,-9.281614543736225,46,85.06043596910679,-3.966159846612795,87.7911956935416
3.0,90.0,88.4312121695618,1.5687878304381968,50,85.48591949377261,-3.4199868266576288,87.36670508381646
4.0,87.2340425531915,87.97020391829633,-0.7361613651048344,47,85.91140301843845,-2.873813806702463,87.46672296585571
5.0,88.23529411764706,87.04186387790348,1.1934302397435772,51,86.33688654310427,-2.327640786747297,87.4305173976967
6.0,82.05128205128204,88.2826014522064,-6.231319400924363,39,86.76237006777009,-1.7814677667921304,87.65413319847366
7.0,84.44444444444444,88.1974609963423,-3.7530165518978578,45,87.18785359243593,-1.2352947468369644,87.5675957015876
8.0,81.13207547169812,87.45310842558594,-6.321032953887823,53,87.61333711710175,-0.6891217268817984,87.6873719944474
9.0,88.37209302325581,87.59999515963126,0.7720978636245519,43,88.03882064176759,-0.14294870692663242,87.42557070669824
10.0,94.73684210526315,88.45348407791685,6.283358027346296,19,88.46430416643341,0.40322431302853357,87.19541939919051
11.0,87.17948717948718,89.31090477455678,-2.1314175950695926,39,88.88978769109924,0.9493973329836995,87.46869570514643
12.0,76.92307692307693,87.8382470480533,-10.91517012497637,26,89.31527121576507,1.4955703529388664,87.83957069180087
13.0,83.33333333333334,87.77775939537261,-4.44442606203927,18,89.74075474043089,2.0417433728940324,87.60777382514185
14.0,86.66666666666667,88.4045667172414,-1.7379000505747229,15,90.16623826509672,2.5879163928491984,87.48723945447915
15.0,100.0,89.57149632488327,10.42850367511673,11,90.59172178976254,3.1340894128043644,87.00510197182837
16.0,83.33333333333334,89.07914179797557,-5.745808464642224,6,91.01720531442838,3.6802624327595304,87.60777382514185
17.0,100.0,88.40056168597215,11.59943831402785,15,91.4426888390942,4.226435452714696,87.00510197182837
18.0,90.0,85.98454766104969,4.015452338950311,10,91.86817236376002,4.772608472669862,87.36670508381646
19.0,85.71428571428571,85.39382521390313,0.32046050038258045,7,92.29365588842586,5.318781492625028,87.52167784609706
20.0,100.0,86.68882307875133,13.311176921248673,7,92.71913941309168,5.864954512580194,87.00510197182837
21.0,100.0,87.57910873656729,12.420891263432708,4,93.14462293775752,6.41112753253536,87.00510197182837
22.0,100.0,86.5,13.5,2,93.57010646242334,6.957300552490526,87.00510197182837
23.0,83.33333333333334,83.73450043850772,-0.40116710517438037,6,93.99558998708918,7.503473572445692,87.60777382514185
26.0,100.0,90.8164349462692,9.183565053730803,1,95.27204056108665,9.141992632311192,87.00510197182837
29.0,100.0,89.23537796696175,10.76462203303825,2,96.54849113508413,10.78051169217669,87.00510197182837
30.0,100.0,90.8164349462692,9.183565053730803,2,96.97397465974996,11.326684712131856,87.00510197182837
36.0,100.0,84.14634146341463,15.853658536585371,2,99.52687580774493,14.603722831862852,87.00510197182837
38.0,100.0,84.14634146341463,15.853658536585371,2,100.37784285707659,15.696068871773184,87.00510197182837
47.0,100.0,77.04918032786885,22.950819672131146,2,104.20719457906904,20.611626051369676,87.00510197182837
