Minute,FT_Percentage,Baseline,Difference,Attempts,FT_Trend,Difference_Trend,Regression_Line
0.0,87.5,88.5773175925928,-1.0773175925928058,24,86.08669092931686,-0.9261242524262063,88.34370325639034
1.0,87.2340425531915,87.13494917719213,0.09909337599937373,47,86.33035238861906,-0.7617152334515205,88.32223785757674
2.0,95.3125,86.52911868435297,8.783381315647034,64,86.57401384792125,-0.5973062144768346,88.97424934654
3.0,87.8048780487805,85.39029467857966,2.4145833702008304,41,86.81767530722345,-0.43289719550214867,88.3683099330791
4.0,82.05128205128204,88.44864291324906,-6.397360861967016,39,87.06133676652566,-0.2684881765274628,87.9039377781321
5.0,82.05128205128204,85.97511673604794,-3.923834684765893,39,87.30499822582784,-0.10407915755277697,87.9039377781321
6.0,87.5,87.89984152501926,-0.3998415250192551,24,87.54865968513005,0.06032986142190899,88.34370325639034
7.0,85.71428571428571,86.74920220900529,-1.0349164947195817,28,87.79232114443224,0.22473888039659484,88.1995784357847
8.0,91.66666666666666,87.92949107409572,3.737175592570935,12,88.03598260373444,0.3891478993712807,88.67999450447016
9.0,89.65517241379311,88.72168959675777,0.9334828170353404,29,88.27964406303664,0.5535569183459665,88.51764700539715
10.0,90.47619047619048,88.37704723027538,2.0991432459151014,21,88.52330552233883,0.7179659373206524,88.58391129073307
11.0,100.0,86.14526554791932,13.854734452080677,12,88.76696698164103,0.8823749562953382,89.35257700062982
12.0,86.95652173913044,89.29473022870096,-2.338208489570519,23,89.01062844094324,1.0467839752700243,88.29983918055385
13.0,82.6086956521739,87.01981717663959,-4.411121524465685,23,89.25428990024542,1.2111929942447102,87.94892657386184
14.0,68.18181818181817,88.39747249065596,-20.215654308837784,22,89.49795135954763,1.375602013219396,86.78453474256568
15.0,100.0,89.17642271961178,10.823577280388221,16,89.74161281884983,1.5400110321940819,89.35257700062982
16.0,91.30434782608695,88.75199231564811,2.5523555104388436,23,89.98527427815202,1.7044200511687677,88.65075178724584
17.0,81.81818181818183,84.14500332378849,-2.3268215056066595,11,90.22893573745422,1.8688290701434536,87.88512428173603
18.0,77.77777777777779,89.62745034329868,-11.84967256552089,9,90.47259719675641,2.0332380891181394,87.55902367753741
19.0,80.0,88.1658692185008,-8.165869218500802,5,90.71625865605861,2.1976471080928253,87.73837900984665
20.0,73.33333333333333,86.56867950923719,-13.235346175903857,15,90.95992011536082,2.362056127067511,87.20031301291893
21.0,100.0,91.02239364458005,8.977606355419951,3,91.203581574663,2.526465146042197,89.35257700062982
22.0,100.0,90.07792122237095,9.922078777629054,3,91.44724303396521,2.690874165016883,89.35257700062982
23.0,100.0,91.31452657580596,8.685473424194043,5,91.69090449326741,2.8552831839915687,89.35257700062982
24.0,100.0,90.50152926584467,9.498470734155333,9,91.9345659525696,3.019692202966255,89.35257700062982
27.0,100.0,88.50574712643679,11.494252873563212,1,92.6655503304762,3.5129192598903125,89.35257700062982
28.0,100.0,91.02239364458005,8.977606355419951,3,92.9092117897784,3.6773282788649984,89.35257700062982
29.0,100.0,88.50574712643679,11.494252873563212,2,93.15287324908059,3.841737297839684,89.35257700062982
30.0,100.0,88.18897637795276,11.811023622047244,2,93.39653470838279,4.00614631681437,89.35257700062982
31.0,100.0,88.18897637795276,11.811023622047244,1,93.64019616768499,4.1705553357890555,89.35257700062982
34.0,100.0,91.02239364458005,8.977606355419951,2,94.37118054559159,4.663782392713113,89.35257700062982
36.0,100.0,88.18897637795276,11.811023622047244,2,94.85850346419598,4.992600430662485,89.35257700062982
40.0,71.42857142857143,88.59375027318522,-17.16517884461379,7,95.83314930140477,5.650236506561228,87.04657987093958
41.0,80.0,90.4557101912546,-10.455710191254596,5,96.07681076070696,5.814645525535914,87.73837900984665
43.0,100.0,90.30523352654309,9.694766473456909,6,96.56413367931135,6.143463563485286,89.35257700062982
44.0,100.0,91.02239364458005,8.977606355419951,2,96.80779513861356,6.3078725824599715,89.35257700062982
46.0,100.0,91.02239364458005,8.977606355419951,1,97.29511805721795,6.636690620409343,89.35257700062982
47.0,100.0,91.02239364458005,8.977606355419951,8,97.53877951652015,6.801099639384029,89.35257700062982
