Minute,FT_Percentage,Baseline,Difference,Attempts,FT_Trend,Difference_Trend,Regression_Line
0.0,82.35294117647058,88.5521779771606,-6.1992368006900165,17,92.1027391861501,3.327768772038292,89.69458746168073
1.0,87.27272727272727,88.69354103119286,-1.4208137584655987,55,91.93374451518723,3.1164418926599806,89.61331356987333
2.0,87.14285714285714,88.71258263195097,-1.5697254890938268,70,91.76474984422435,2.9051150132816694,89.61545899869434
3.0,92.06349206349206,89.72077365922725,2.342718404264815,63,91.59575517326148,2.6937881339033583,89.53417108447634
4.0,88.33333333333333,88.3479392665238,-0.014605933190466658,60,91.42676050229859,2.482461254525047,89.59579256783513
5.0,84.61538461538461,88.60073311767977,-3.985348502295153,65,91.25776583133572,2.271134375146736,89.65721234421076
6.0,94.54545454545455,89.08326640655189,5.462188138902661,55,91.08877116037284,2.0598074957684243,89.49316955589718
7.0,90.66666666666666,89.8349085429943,0.8317581236723584,75,90.91977648940997,1.848480616390113,89.55724636335113
8.0,88.70967741935483,89.93754336432349,-1.2278659449686558,62,90.7507818184471,1.637153737011802,89.58957543807965
9.0,88.88888888888889,89.25262569791444,-0.3637368090255535,81,90.58178714748422,1.4258268576334907,89.58661490010086
10.0,93.22033898305084,89.3599898364762,3.8603491465746345,59,90.41279247652133,1.2144999782551795,89.51506020251148
11.0,81.0126582278481,88.83379083955447,-7.821132611706361,79,90.24379780555846,1.0031730988768683,89.71672867051103
12.0,93.75,89.44567182180043,4.304328178199569,32,90.07480313459558,0.7918462194985567,89.50631030742582
13.0,89.47368421052632,88.4562053282275,1.0174788822988177,38,89.90580846363271,0.5805193401202455,89.57695419722265
14.0,89.47368421052632,90.92758211317768,-1.453897902651363,19,89.73681379266984,0.36919246074193435,89.57695419722265
15.0,96.29629629629629,90.23777030551355,6.058525990782741,27,89.56781912170696,0.15786558136362316,89.464245996977
16.0,80.0,88.27600619195047,-8.276006191950472,10,89.39882445074407,-0.05346129801468802,89.73345758384947
17.0,100.0,90.28528501183756,9.714714988162442,17,89.2298297797812,-0.2647881773929992,89.40306154541507
18.0,100.0,90.9705882352941,9.029411764705898,3,89.06083510881832,-0.4761150567713104,89.40306154541507
19.0,88.88888888888889,89.1093116810008,-0.2204227921119184,9,88.89184043785545,-0.6874419361496216,89.58661490010086
20.0,66.66666666666666,88.06743669127569,-21.40077002460903,9,88.72284576689258,-0.8987688155279328,89.95372160947241
21.0,66.66666666666666,92.23529411764706,-25.5686274509804,6,88.5538510959297,-1.110095694906244,89.95372160947241
22.0,100.0,89.72549019607844,10.27450980392156,3,88.38485642496681,-1.3214225742845551,89.40306154541507
23.0,100.0,92.23529411764706,7.764705882352942,3,88.21586175400394,-1.5327494536628663,89.40306154541507
24.0,100.0,88.31727477021305,11.682725229786953,3,88.04686708304106,-1.7440763330411784,89.40306154541507
25.0,100.0,92.56470588235294,7.435294117647061,5,87.87787241207819,-1.9554032124194896,89.40306154541507
26.0,80.0,90.76072534276868,-10.76072534276868,5,87.70887774111532,-2.1667300917978007,89.73345758384947
27.0,100.0,88.63405572755417,11.36594427244583,5,87.53988307015244,-2.378056971176112,89.40306154541507
28.0,100.0,86.53846153846153,13.461538461538467,8,87.37088839918955,-2.589383850554423,89.40306154541507
29.0,100.0,89.78393407177296,10.216065928227039,11,87.20189372822668,-2.8007107299327343,89.40306154541507
30.0,66.66666666666666,87.57739938080495,-20.91073271413829,3,87.0328990572638,-3.0120376093110455,89.95372160947241
31.0,100.0,89.7196261682243,10.280373831775705,1,86.86390438630093,-3.2233644886893567,89.40306154541507
32.0,100.0,86.05769230769229,13.942307692307708,8,86.69490971533806,-3.434691368067668,89.40306154541507
33.0,100.0,87.61609907120743,12.38390092879257,2,86.52591504437518,-3.646018247445979,89.40306154541507
34.0,100.0,89.7196261682243,10.280373831775705,2,86.3569203734123,-3.85734512682429,89.40306154541507
42.0,100.0,92.70588235294117,7.294117647058826,1,85.00496300570929,-5.54796016185078,89.40306154541507
45.0,0.0,92.70588235294117,-92.70588235294117,1,84.49797899282066,-6.181940799985714,91.05504173758712
47.0,100.0,92.70588235294117,7.294117647058826,3,84.1599896508949,-6.6045945587423365,89.40306154541507
