Minute,FT_Percentage,Baseline,Difference,Attempts,FT_Trend,Difference_Trend,Regression_Line
0.0,57.14285714285714,64.76715569571549,-7.624298552858349,49,69.47069182970081,4.304695656052555,67.72690167640765
1.0,57.333333333333336,65.4736553803198,-8.140322046986462,75,68.91376605488021,3.5964965944054677,67.72485254510916
2.0,58.69565217391305,66.35922609151179,-7.66357391759874,92,68.3568402800596,2.88829753275838,67.71019680169168
3.0,68.86792452830188,66.548215948332,2.319708579969884,106,67.799914505239,2.1800984711112927,67.60076411298628
4.0,74.16666666666667,66.94259466278514,7.224072003881531,120,67.2429887304184,1.4718994094642053,67.54376056660486
5.0,75.28089887640449,67.59893087951683,7.681967996887664,89,66.6860629555978,0.7637003478171178,67.53177372410735
6.0,79.3103448275862,68.10398426795088,11.206360559635328,58,66.12913718077719,0.05550128617003036,67.48842518908306
7.0,63.49206349206349,66.496321949236,-3.0042584571725186,63,65.5722114059566,-0.6526977754770567,67.65859729979123
8.0,68.0,66.59891642450873,1.4010835754912705,50,65.015285631136,-1.3608968371241446,67.61010119239356
9.0,69.23076923076923,67.8295153881535,1.4012538426157306,39,64.4583598563154,-2.0690958987712325,67.59686065169561
10.0,62.5,67.51349485247533,-5.013494852475333,32,63.901434081494784,-2.7772949604183195,67.66926985863755
11.0,69.56521739130434,67.1208639796187,2.44435341168564,23,63.344508306674186,-3.4854940220654065,67.59326267867986
12.0,78.57142857142857,65.75323308147145,12.81819548995712,14,62.78758253185359,-4.193693083712494,67.4963744053272
13.0,64.28571428571429,66.02756948618595,-1.7418552004716616,14,62.23065675703298,-4.901892145359582,67.65005925271417
14.0,71.42857142857143,66.37313722305804,5.055434205513393,14,61.673730982212376,-5.610091207006668,67.5732168290207
15.0,50.0,64.25120772946859,-14.25120772946859,8,61.11680520739178,-6.318290268653756,67.80374410010114
16.0,100.0,63.7707776047697,36.2292223952303,3,60.55987943257117,-7.026489330300844,67.26584713424675
17.0,75.0,63.53056254242024,11.469437457579758,4,60.002953657750574,-7.734688391947932,67.53479561717396
19.0,25.0,65.8119658119658,-40.811965811965806,4,58.88910210810937,-9.151086515242106,68.07269258302833
20.0,0.0,62.8099173553719,-62.8099173553719,1,58.332176333288764,-9.859285576889194,68.34164106595551
21.0,50.0,72.73063394842207,-22.730633948422067,2,57.77525055846816,-10.567484638536282,67.80374410010114
25.0,100.0,72.73063394842207,27.269366051577933,2,55.54754745918575,-13.40028088512463,67.26584713424675
30.0,0.0,72.73063394842207,-72.73063394842207,2,52.762918585082744,-16.941276193360068,68.34164106595551
32.0,66.66666666666666,72.73063394842207,-6.06396728175541,3,51.64906703544153,-18.357674316654244,67.62444511148301
40.0,0.0,70.703125,-70.703125,1,47.19366083687672,-24.023266809830943,68.34164106595551
41.0,100.0,70.703125,29.296875,2,46.63673506205612,-24.73146587147803,67.26584713424675
43.0,100.0,70.703125,29.296875,1,45.52288351241491,-26.147863994772205,67.26584713424675
44.0,0.0,72.73063394842207,-72.73063394842207,1,44.96595773759431,-26.85606305641929,68.34164106595551
