Minute,Minute_Average_FT%,Season_Average_FT%,Difference
0,71.32921174652242,73.29205416794944,-1.9628424214270268
1,74.79289940828401,74.90751241186355,-0.11461300357953519
2,74.30869783810961,74.95263956277637,-0.6439417246667603
3,75.38461538461539,75.13605588110985,0.24855950350553258
4,76.10810810810811,75.99776683385802,0.11034127425008933
5,76.00401606425703,76.12224202271923,-0.11822595846220452
6,77.16535433070865,76.6499080995355,0.5154462311731578
7,77.6608187134503,76.69507604005712,0.96574267339318
8,79.65425531914893,77.88583380608914,1.768421513059792
9,78.79053461875549,77.70430949846165,1.0862251202938324
10,76.86496694995279,77.46759048688615,-0.6026235369333648
11,78.79417879417879,78.51368020321841,0.2804985909603772
12,74.84143763213531,76.77175871247276,-1.9303210803374498
13,74.56647398843931,77.20049042877226,-2.6340164403329425
14,73.78190255220419,75.77074197521912,-1.9888394230149373
15,78.33753148614609,77.09823359752542,1.2392978886206691
16,77.24358974358975,77.07306900139399,0.1705207421957624
17,74.11003236245955,77.72631085263725,-3.616278490177706
18,74.75247524752476,77.89169368864734,-3.13921844112258
19,81.95488721804512,77.25535153634391,4.699535681701207
20,77.87610619469027,79.9748219973573,-2.09871580266703
21,83.82352941176471,75.04274275723168,8.780786654533031
22,80.76923076923077,76.31561003596173,4.453620733269048
23,71.73913043478261,79.54806989059529,-7.808939455812677
24,73.52941176470588,72.3830380538572,1.1463737108486782
25,77.41935483870968,74.75456018129636,2.6647946574133243
26,77.5,76.85625741160862,0.6437425883913761
27,66.66666666666666,75.50192187471022,-8.835255208043563
28,73.17073170731707,71.70325410868708,1.4674775986299977
29,69.0909090909091,72.31270879113055,-3.221799700221453
30,70.96774193548387,75.77038730486967,-4.8026453693858
31,67.64705882352942,78.52259720664425,-10.87553838311483
32,93.75,82.1548756975106,11.595124302489396
33,70.58823529411765,65.8541095636977,4.734125730419947
34,66.66666666666666,75.42849721736573,-8.761830550699074
35,66.66666666666666,65.23690194175681,1.4297647249098446
36,61.53846153846154,72.71323134939071,-11.17476981092917
37,70.0,68.29256127795813,1.7074387220418714
38,80.95238095238095,75.26489278858222,5.687488163798733
39,91.66666666666666,80.13832878078395,11.528337885882706
40,71.42857142857143,73.24231781222645,-1.8137463836550154
41,100.0,70.75066090836283,29.249339091637168
42,66.66666666666666,75.67292924076845,-9.006262574101797
43,83.33333333333334,83.73243382566734,-0.399100492334
44,0.0,78.88631090487239,-78.88631090487239
45,75.0,69.75619626081921,5.243803739180791
46,50.0,83.60655737704919,-33.606557377049185
47,60.0,78.43865784376179,-18.43865784376179
50,0.0,78.88631090487239,-78.88631090487239
52,100.0,78.88631090487239,21.11368909512761
